category,image_name,image_number,image_iter,fixation_duration,fixation_blank_duration,delay_duration,resp_choices,delay_in_between,visb_choices,convert,corrAns
Living_Things,processed/face/face-20_16.png,20,16,0.3556299600406257,0.7745359895699265,1.0055639371094534,V_nV,0.6336315100736665,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-43_16.png,43,16,0.40741511540328035,0.8994692455039803,1.79308676639763,nV_V,0.6838943096529413,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/nonliving/nonliving-68_16.png,68,16,0.4652428564814075,0.9167038461217506,1.4355118556649487,nV_V,0.9014136539553339,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/nonliving/nonliving-97_16.png,97,16,0.37038431869415533,0.7450211521931212,1.5617371308431072,V_nV,0.612788927708831,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-53_16.png,53,16,0.3417895684663414,0.5486460520271943,1.5496353196217338,nV_V,0.7594334445507255,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-25_16.png,25,16,0.44052384941623524,0.5167120130624043,1.6650217195201131,nV_V,0.7501290574287947,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-94_16.png,94,16,0.4913434850696534,0.8085337068141334,1.2940231014158647,nV_V,0.8603544526612007,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-84_16.png,84,16,0.27910213259973604,0.753271045260794,1.70216045798129,V_nV,0.7542903096350064,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-93_16.png,93,16,0.2821794547545182,0.8293856541496316,1.1242149266405699,V_nV,0.8397761172289315,?,Living_Things-Nonliving_Things,1
Living_Things,processed/face/face-8_16.png,8,16,0.4035931591956734,0.9964969390608929,1.6811588258335917,nV_V,0.968011697414955,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-69_16.png,69,16,0.3662532904963057,0.8728170442857484,1.7848934651199384,nV_V,0.7800769835764862,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-17_16.png,17,16,0.4930278308512016,0.7814597447023124,1.4359174308853628,V_nV,0.8222225793778459,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-81_16.png,81,16,0.48235865640495346,0.743500499634717,1.9363143003676826,V_nV,0.9427350238480796,?,Living_Things-Nonliving_Things,2
Nonliving_Things,processed/nonliving/nonliving-58_16.png,58,16,0.307159437450818,0.972467706932654,1.2931374275034224,V_nV,0.8018066513840145,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-47_16.png,47,16,0.4961738551483012,0.6131221104039529,1.6377273360774849,nV_V,0.6859558824375962,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-77_16.png,77,16,0.27351501746677087,0.5297169538984408,1.1080433085934351,V_nV,0.9771803100575167,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-70_16.png,70,16,0.4057700986096721,0.8384686329396371,1.8646823240119874,nV_V,0.5843217049438989,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-94_16.png,94,16,0.3684986589025534,0.941052912360562,1.77886942667306,V_nV,0.7612206536652373,?,Living_Things-Nonliving_Things,1
Nonliving_Things,processed/nonliving/nonliving-76_16.png,76,16,0.44441981717109946,0.6301453487541033,1.6942420014080963,V_nV,0.7218044145035141,?,Living_Things-Nonliving_Things,2
Nonliving_Things,processed/nonliving/nonliving-46_16.png,46,16,0.26124880270014794,0.6693204515306155,1.1532784050722593,nV_V,0.9982478565185007,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/nonliving/nonliving-28_16.png,28,16,0.4266972512206382,0.5323047426324246,1.1985037096240059,nV_V,0.8764271194509078,?,Nonliving_Things-Living_Things,1
Nonliving_Things,processed/nonliving/nonliving-71_16.png,71,16,0.3124975614285961,0.7833458942735799,1.8969350296545575,V_nV,0.5658226181803712,?,Living_Things-Nonliving_Things,2
Living_Things,processed/face/face-57_16.png,57,16,0.30816720894562344,0.6867171674096699,1.921767214250576,nV_V,0.8576770858055602,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-79_16.png,79,16,0.3884623447739042,0.7248731456043074,1.4952471141928525,nV_V,0.5513074825820482,?,Nonliving_Things-Living_Things,2
Nonliving_Things,processed/nonliving/nonliving-10_16.png,10,16,0.4685682810434548,0.5466813145302312,1.135906657362794,nV_V,0.8659304078410384,?,Nonliving_Things-Living_Things,1
Living_Things,processed/face/face-6_16.png,6,16,0.4898943411654675,0.8776197377787263,1.6210553069489606,nV_V,0.6488015309100846,?,Nonliving_Things-Living_Things,2
Living_Things,processed/face/face-2_16.png,2,16,0.4246892038608471,0.9585047680016472,1.9863272373570613,nV_V,0.9688066249725306,?,Nonliving_Things-Living_Things,2
